bottle,39,0.25798118114471436,19:55:40
toilet,61,0.888765811920166,19:55:40
sink,71,0.4658008813858032,19:55:40
person,0,0.7740499377250671,19:55:40
suitcase,28,0.3255695402622223,19:55:40
person,0,0.30887502431869507,19:55:40
toilet,61,0.8501187562942505,19:55:40
toilet,61,0.8177468180656433,19:55:40
person,0,0.7995996475219727,19:55:40
person,0,0.7717956304550171,19:55:40
person,0,0.7164486646652222,19:55:40
toilet,61,0.35897958278656006,19:55:40
vase,75,0.2714076340198517,19:55:40
sink,71,0.6364912390708923,19:55:40
bottle,39,0.4977295398712158,19:55:40
sink,71,0.4901760220527649,19:55:40
potted plant,58,0.3015371561050415,19:55:40
person,0,0.8185248970985413,19:55:40
toilet,61,0.8730872273445129,19:55:40
potted plant,58,0.5081872940063477,19:55:40
sink,71,0.46673139929771423,19:55:40
sink,71,0.46022331714630127,19:55:40
bottle,39,0.436935693025589,19:55:40
bottle,39,0.3938821852207184,19:55:40
bottle,39,0.3703438937664032,19:55:40
sink,71,0.33371397852897644,19:55:40
toilet,61,0.8930561542510986,19:55:40
sink,71,0.5187880396842957,19:55:40
bottle,39,0.40847906470298767,19:55:40
bottle,39,0.28962278366088867,19:55:40
bottle,39,0.2654135227203369,19:55:40
potted plant,58,0.7148392200469971,19:55:40
sink,71,0.44342267513275146,19:55:40
vase,75,0.37750571966171265,19:55:40
potted plant,58,0.3400116264820099,19:55:40
toilet,61,0.6422302722930908,19:55:40
toilet,61,0.4393310546875,19:55:40
toilet,61,0.8006371855735779,19:55:40
toilet,61,0.6966853141784668,19:55:40
potted plant,58,0.2806527614593506,19:55:40
sink,71,0.2780488431453705,19:55:40
toilet,61,0.8459036350250244,19:55:40
potted plant,58,0.6991651654243469,19:55:40
sink,71,0.3267342746257782,19:55:40
toilet,61,0.29502615332603455,19:55:40
toilet,61,0.9079470634460449,19:55:40
sink,71,0.6360917687416077,19:55:40
bowl,45,0.7457135319709778,19:55:40
bottle,39,0.5666577219963074,19:55:40
vase,75,0.2832786738872528,19:55:40
bottle,39,0.5872107148170471,19:55:40
sink,71,0.5561964511871338,19:55:40
sink,71,0.717157781124115,19:55:40
toilet,61,0.4176221787929535,19:55:40
toilet,61,0.6813665628433228,19:55:40
sink,71,0.38098853826522827,19:55:40
toilet,61,0.3605829179286957,19:55:40
bottle,39,0.6059190630912781,19:55:40
bottle,39,0.5061737298965454,19:55:40
bottle,39,0.5000479221343994,19:55:40
sink,71,0.7421177625656128,19:55:40
sink,71,0.7208068370819092,19:55:40
sink,71,0.3470243215560913,19:55:40
toilet,61,0.8866838216781616,19:55:40
sink,71,0.5050776600837708,19:55:40
toilet,61,0.4045940637588501,19:55:40
toilet,61,0.31473878026008606,19:55:40
toilet,61,0.5944061279296875,19:55:40
toilet,61,0.7349381446838379,19:55:40
sink,71,0.5115435719490051,19:55:40
toilet,61,0.7918362021446228,19:55:40
chair,56,0.885796308517456,19:55:40
potted plant,58,0.7450032830238342,19:55:40
chair,56,0.4133000075817108,19:55:40
person,0,0.8337528109550476,19:55:40
person,0,0.26106876134872437,19:55:40
sink,71,0.7499077916145325,19:55:40
bowl,45,0.74269038438797,19:55:40
bottle,39,0.5438282489776611,19:55:40
sink,71,0.43717360496520996,19:55:40
bottle,39,0.4347263276576996,19:55:40
bottle,39,0.4059438109397888,19:55:40
bottle,39,0.37505489587783813,19:55:40
toilet,61,0.5461510419845581,19:55:40
tie,27,0.47031036019325256,19:55:40
dog,16,0.3681873679161072,19:55:40
person,0,0.3035893738269806,19:55:40
chair,56,0.5351563096046448,19:55:40
person,0,0.2917790412902832,19:55:40
oven,69,0.3953261077404022,19:55:41
sink,71,0.2691558003425598,19:55:41
toilet,61,0.6024019718170166,19:55:41
toilet,61,0.28738367557525635,19:55:41
sink,71,0.8560148477554321,19:55:41
toilet,61,0.42874953150749207,19:55:41
toilet,61,0.4154483377933502,19:55:41
toilet,61,0.9382094144821167,19:55:41
toilet,61,0.636227548122406,19:55:41
toilet,61,0.370477557182312,19:55:41
sink,71,0.758114755153656,19:55:41
toilet,61,0.6914615035057068,19:55:41
toilet,61,0.6142563819885254,19:55:41
vase,75,0.5331016778945923,19:55:41
potted plant,58,0.4019216001033783,19:55:41
sink,71,0.7548584938049316,19:55:41
bottle,39,0.6255873441696167,19:55:41
bottle,39,0.5240699648857117,19:55:41
person,0,0.2519091069698334,19:55:41
clock,74,0.6916787624359131,19:55:41
sink,71,0.4670867919921875,19:55:41
sink,71,0.43169650435447693,19:55:41
toilet,61,0.5628244280815125,19:55:41
bowl,45,0.2727718949317932,19:55:41
person,0,0.8793853521347046,19:55:41
person,0,0.8104084134101868,19:55:41
toilet,61,0.6885489821434021,19:55:41
toilet,61,0.3078690469264984,19:55:41
toilet,61,0.5848693251609802,19:55:41
potted plant,58,0.5156170725822449,19:55:41
vase,75,0.44904953241348267,19:55:41
potted plant,58,0.402416855096817,19:55:41
sink,71,0.3903641998767853,19:55:41
toilet,61,0.49377569556236267,19:55:41
person,0,0.33735448122024536,19:55:41
toilet,61,0.3325262665748596,19:55:41
sink,71,0.2662535011768341,19:55:41
toilet,61,0.5926472544670105,19:55:41
sink,71,0.3381703794002533,19:55:41
vase,75,0.5998945236206055,19:55:41
bottle,39,0.42812037467956543,19:55:41
toilet,61,0.2639492452144623,19:55:41
sink,71,0.7908918857574463,19:55:41
bottle,39,0.4764454960823059,19:55:41
sink,71,0.4007253348827362,19:55:41
toilet,61,0.6656479239463806,19:55:41
sink,71,0.5764017701148987,19:55:41
